Text,Result
친절하게 잘 봐주세요,"긍정 확률: 41.99%, 부정 확률: 58.01%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
 ,"긍정 확률: 36.55%, 부정 확률: 63.45%"
친절하고 과잉진료없고 스캘링도 잘해요,"긍정 확률: 43.88%, 부정 확률: 56.12%"
친절합니다 ,"긍정 확률: 40.78%, 부정 확률: 59.22%"
검진 받았어요~,"긍정 확률: 46.75%, 부정 확률: 53.25%"
"건강검진하러 갔는데, 데스크 직원들은 다리꼬고 앉아서 손님들 응대도 제대로 안함. 어수선하고 이리가라저리가라  이곳은 대기많으니 저쪽 가라. 그래서 저쪽갔는데  거기도 대기많다 고 소변검사 먼저해라.... 정말 불쾌했음. 두번다시 가고 싶지 않은곳.내용 더보기","긍정 확률: 61.60%, 부정 확률: 38.40%"
너무너무 불친절,"긍정 확률: 42.37%, 부정 확률: 57.63%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
치료가마음어들어요,"긍정 확률: 46.14%, 부정 확률: 53.86%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
진료를 잘 봐주십니다,"긍정 확률: 41.42%, 부정 확률: 58.58%"
설명이 친절해요,"긍정 확률: 43.26%, 부정 확률: 56.74%"
가까운곳이라 자주 이용합니다.,"긍정 확률: 58.01%, 부정 확률: 41.99%"
설명이 자세해요,"긍정 확률: 43.76%, 부정 확률: 56.24%"
친절해요. ,"긍정 확률: 57.35%, 부정 확률: 42.65%"
1진료실 화목토 원장님 잘봐주심,"긍정 확률: 43.56%, 부정 확률: 56.44%"
👍 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
간호사분들 원장님 모두모두 친절하셨어요 긴장했었는데 덕분에 검사 잘 받고 갑니다 👍🏻,"긍정 확률: 49.58%, 부정 확률: 50.42%"
친절해요. ,"긍정 확률: 57.35%, 부정 확률: 42.65%"
의사선생님께서 친절하시고  시설도 쾌적하고 좋았습니다,"긍정 확률: 47.36%, 부정 확률: 52.64%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
항상  친절하시고  과잉진료  안하셔서  좋아요.  ,"긍정 확률: 54.71%, 부정 확률: 45.29%"
항상 친절하게 대해주시고 치료도 잘 해주십니다....!,"긍정 확률: 56.78%, 부정 확률: 43.22%"
 ,"긍정 확률: 36.55%, 부정 확률: 63.45%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
아이들 초등학생때부터 다닌지 14년 됐는데 항상 치료도 잘 해주시고 한결 같이 친절하게 해주셔서 너무 좋습니다. ,"긍정 확률: 55.85%, 부정 확률: 44.15%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
원장님이 정성을 다해 치료해주시고 설명을 해주어 안심하고 치료를 잘 받고 있습니다 테니스웰보였는데 많이 좋아지고 있어요 ,"긍정 확률: 49.95%, 부정 확률: 50.05%"
원장님 이 되게 친절 하고  자세 하게 설명 을 잘해주십니다,"긍정 확률: 46.57%, 부정 확률: 53.43%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
팔꿈치가 아파서 주 일회씩 주사를 맞고 있는데 효과가 괜찮은거 같아 좋아요,"긍정 확률: 50.05%, 부정 확률: 49.95%"
꾸준한 물리치료받으면 서 점저 좋아지고 아음을 느낌니다,"긍정 확률: 47.87%, 부정 확률: 52.13%"
팔굼치가 아주 불폄했는데 치료를 잘받고  있습니다,"긍정 확률: 48.62%, 부정 확률: 51.38%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
ㆍ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
"근,골격계 통증이 있을때 항상 진료 받는 정형외과인데 이번엔 손가락을 베여 치료를 받았네요. 원장선생님의 세심하고 정성스런 진료 덕분에 상처가 잘 아물어 오늘 실밥을 풀었습니다 . 원장님,간호사선생님 감사합니다!내용 더보기","긍정 확률: 57.73%, 부정 확률: 42.27%"
자세히설명,"긍정 확률: 39.12%, 부정 확률: 60.88%"
선생님이 핀절하시고 설명 잘 해 주십니다.,"긍정 확률: 55.62%, 부정 확률: 44.38%"
선생님과 직원분 친절하시고 치료효과도 좋아요,"긍정 확률: 46.47%, 부정 확률: 53.53%"
주아요,"긍정 확률: 43.34%, 부정 확률: 56.66%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
침 맞는거 무서워 긴장하고 갔는데 친절하고 자상하게 잘 치료해 주셔서 감사해요~ 덕분에 한결 좋아졌답니다~^^,"긍정 확률: 49.37%, 부정 확률: 50.63%"
조아요 ,"긍정 확률: 43.80%, 부정 확률: 56.20%"
너무 좋아요 체해서 속이 더 부룩했는데 침맞고 주신약을 먹었더니 완전 편해졌어요^^,"긍정 확률: 45.20%, 부정 확률: 54.80%"
원장님이 정말 친절하시고 치료도 잘하세요. 특히 추나치료는 너무 시원합니다.  목이랑 허리가 불편했는데 한번에 시원해졌어요. 강추해요,"긍정 확률: 56.76%, 부정 확률: 43.24%"
원장님 침도 꼼꼼히 나주시고 친절해서 좋아요 주차장이 없다는게 흠이긴 하지만요,"긍정 확률: 45.99%, 부정 확률: 54.01%"
친절하고 침도 잘 놔주시는데 예전보다 금액이 좀 비싸졌네요~,"긍정 확률: 47.39%, 부정 확률: 52.61%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절하십니다,"긍정 확률: 40.73%, 부정 확률: 59.27%"
친절하고 잘 봐주세여~,"긍정 확률: 45.82%, 부정 확률: 54.18%"
통원 몇번했는데 대부분 친절하시고 좋아요,"긍정 확률: 44.94%, 부정 확률: 55.06%"
내시경 받았어요. 내과쌤들 참 친절하세요🫶,"긍정 확률: 54.64%, 부정 확률: 45.36%"
내과 검진 잘 받았어요,"긍정 확률: 46.12%, 부정 확률: 53.88%"
잘 다녀왔어요,"긍정 확률: 45.25%, 부정 확률: 54.75%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
원장선생님 넘  친절하시고 좋으세요,"긍정 확률: 43.93%, 부정 확률: 56.07%"
선생님 너무 친절하세요 과잉 진료 절대 없으십니다. 어머니 아버지 할머니 모두 모시고 오고 싶은 곳입니다. 다른 병원같은 경우 더한 진료보고 더 많은 비용 청구하고 하는데 여기는 절대 그런거 없어요. 감사합니다 선생님,"긍정 확률: 58.23%, 부정 확률: 41.77%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
어제 치루 수술하고 1박 입원 후 오늘 아침 퇴원하고 집으로 왔습니다. 조목조목 설명 잘해주시고 친절하고 마음이 편안합니다. 의사선생님과 간호사 여러분께 감사드립니다.,"긍정 확률: 57.74%, 부정 확률: 42.26%"
후기대로 정말 친절하고 과잉진료도 없네요~  최고의 선택이였습니다👍👍👍,"긍정 확률: 47.95%, 부정 확률: 52.05%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
치,"긍정 확률: 41.12%, 부정 확률: 58.88%"
치핵4기 수술했어요 친절해요,"긍정 확률: 43.63%, 부정 확률: 56.37%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요^^,"긍정 확률: 44.82%, 부정 확률: 55.18%"
"쏘쏘,,,동네 큰 내과라 다녀왔어요","긍정 확률: 55.18%, 부정 확률: 44.82%"
친절해요^^,"긍정 확률: 45.12%, 부정 확률: 54.88%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
독감접종 하고왔어요. 병원이 컸는데 다들 안내도 친절하게 해주시고  빠르게 접종후 귀가했어요. 병원이 깨끗하고 주사비도 저렴해서 계속 다니려고합니다.,"긍정 확률: 58.74%, 부정 확률: 41.26%"
 ,"긍정 확률: 36.55%, 부정 확률: 63.45%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
적당합니다~,"긍정 확률: 46.42%, 부정 확률: 53.58%"
병원,"긍정 확률: 37.40%, 부정 확률: 62.60%"
적당합니다,"긍정 확률: 41.52%, 부정 확률: 58.48%"
너무너무 꼼꼼하게 신경치료 끝~!!!!  다음주에 진짜 마무리하는날  대장정이 끝이 보입니다  원장님 간호사님 실장님들 다 너무 감사해요 🥰  주변 소개 많이많이 할거예요 너무 잘하는  병원임 내용 더보기,"긍정 확률: 52.57%, 부정 확률: 47.43%"
세번째 신경치료  다음번이 끝이다~! 마취주사가 무서워서  떨면서 갔는데 마취도 안하고 끝났네?? 턱이 좀 약한편이여서 이번에도 물리치료 했어용 눈 가리고 꿀맛같은 낮잠까지 자고 왔네요~  아프면 인형 누르라고 주셨는데 한번도  안눌렀네요 😉🫰🏻 감사합니다 다음주 치과 휴가전에 치료 다 끝나네요 신나요~~~!!!내용 더보기,"긍정 확률: 53.27%, 부정 확률: 46.73%"
 ,"긍정 확률: 36.55%, 부정 확률: 63.45%"
병원,"긍정 확률: 37.40%, 부정 확률: 62.60%"
진짜 최고의 진료!!  신경치료 여기선 처음인데  전에 치료했던곳 기억이 있어서  진짜 긴장많이 했거든요 그런데 의사선생님도  그렇고 간호사님 실장님 진짜 너무너무  친절하고 설명 도 편하게 잘해주시고  너무 잘해주셔서 믿고 평생 다녀도 될  치과예요 🤭👍🏻 감사해요 내용 더보기,"긍정 확률: 50.29%, 부정 확률: 49.71%"
처음 방문 했는데 친절하시고 세심하게 진료해주셔서 재방문 하겠습니다,"긍정 확률: 49.11%, 부정 확률: 50.89%"
굿👍,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿👍,"긍정 확률: 44.58%, 부정 확률: 55.42%"
약의  효과를 보아서 너무 감사 합니다 ,"긍정 확률: 46.98%, 부정 확률: 53.02%"
친절한 한의원,"긍정 확률: 38.85%, 부정 확률: 61.15%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
ㅎ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절한 한의원입니다,"긍정 확률: 40.71%, 부정 확률: 59.29%"
친절하고   좋은재료로 건강을 찾았어요 ,"긍정 확률: 46.03%, 부정 확률: 53.97%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
시설은 좀 예던모습니지만 의사선생님고 츤데레. 간호사 선생님도 좋아요^^,"긍정 확률: 55.66%, 부정 확률: 44.34%"
친철하셔요,"긍정 확률: 41.94%, 부정 확률: 58.06%"
콧 속에 심한 염증때문에 갔어요. 금방 진료해주셔서 감사했어요,"긍정 확률: 54.05%, 부정 확률: 45.95%"
 ,"긍정 확률: 36.55%, 부정 확률: 63.45%"
아프면 항상가는 병원 좋아요,"긍정 확률: 43.42%, 부정 확률: 56.58%"
친절하고 처방받은 약이 잘 들어요,"긍정 확률: 43.52%, 부정 확률: 56.48%"
친절 해요 ,"긍정 확률: 41.12%, 부정 확률: 58.88%"
친절하고 진료를 잘보세요. 과잉진료도 하지않아요~~,"긍정 확률: 57.30%, 부정 확률: 42.70%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
에고 코로나 확진이네여,"긍정 확률: 42.87%, 부정 확률: 57.13%"
상담을 잘해주세요,"긍정 확률: 44.56%, 부정 확률: 55.44%"
꼼꼼하게 잘해주세요,"긍정 확률: 44.33%, 부정 확률: 55.67%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절하고 진료를 잘해주세요,"긍정 확률: 44.73%, 부정 확률: 55.27%"
꼼꼼해요.친절해요.믿음이 가요,"긍정 확률: 56.80%, 부정 확률: 43.20%"
세심하고 친절해요. ,"긍정 확률: 56.21%, 부정 확률: 43.79%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
😀,"긍정 확률: 44.58%, 부정 확률: 55.42%"
원장님이  진짜 세심하게 치료해 주세요 간호사님들도  변함없이  그대로여서 좋아요,"긍정 확률: 49.81%, 부정 확률: 50.19%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절합니다,"긍정 확률: 40.78%, 부정 확률: 59.22%"
좋아여,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
조아요,"긍정 확률: 43.80%, 부정 확률: 56.20%"
자세한 설명 과  친절함에 마음이 편해요,"긍정 확률: 48.66%, 부정 확률: 51.34%"
"원장님 꼼꼼하게  진료잘하시고 간호사,  치위생사분들   모두 친절하세요ᆢ 멀지만  꼭  가서  진료받는 곳입니다내용 더보기","긍정 확률: 51.54%, 부정 확률: 48.46%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
스케일링을 잘해요,"긍정 확률: 43.14%, 부정 확률: 56.86%"
친절합니다 ,"긍정 확률: 40.78%, 부정 확률: 59.22%"
의사쌤이 친절해요 ,"긍정 확률: 44.53%, 부정 확률: 55.47%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
"거평한의원 다닌지 오래되었어요,, 만성 위장장애로 인해,, 생활이 힘들어지면 양약으로 회복 불가한걸,, 보약 먹고 활력을 되찾고해요!! 너무나 믿음이 있는 곳이기에 저희 식구들 다 이 곳으로 다니고 있답니다^^ 시설은 좀 오래 되었지만,,  선생님 너무나 친절하시고,  보약 잘받는거 말할 것도 없고,,  침도 너무 잘 놓아주셔요,,  (보약 금액도 다른곳 보다 저렴하게 받으 세요,, 감사합니다^^) 진심 이런거 잘 안 쓰는데,, 쓰려고 영수증 챙겼어요 ㅎㅎ 거평한의원 오래오래 번창했음 좋겠어요!! 감사합니다~~내용 더보기","긍정 확률: 57.98%, 부정 확률: 42.02%"
좋아요:),"긍정 확률: 44.14%, 부정 확률: 55.86%"
"어깨 다쳐서 오랜만에 갔어요. 여전히 다들 친절하시고, 잘 봐주세요:)","긍정 확률: 54.51%, 부정 확률: 45.49%"
친절하세요. 효과가 좋아요,"긍정 확률: 57.62%, 부정 확률: 42.38%"
꼼꼼한 진료와 침! 소화 안될때나 생리쪽 안좋을때 가서 한약 먹고 침 맞고 부황 뜨면 정말 건강해져요 과잉진료도 없어서 더 조아요 원장님의 오래된 내공이 느껴져요,"긍정 확률: 51.15%, 부정 확률: 48.85%"
친절하게 설명도 잘해주시고 치료도 잘해주시네요,"긍정 확률: 46.25%, 부정 확률: 53.75%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
굳,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
좋아요 😀 ,"긍정 확률: 42.43%, 부정 확률: 57.57%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
어깨와 목 팔저림으로 봉침과 추나 받았습니다. 정형외과보다 효과가 있는 것 같아서 꾸준히 받아보려고 합니다. ,"긍정 확률: 58.02%, 부정 확률: 41.98%"
속이 안좋아서 여기서 침맞고 한약먹었는데 많이 좋아졌어요 허리를 삐끗해서 치료받는중인데 다른곳보다 효과가 좋네요 원장님 친절하셔서 좋습니다~~,"긍정 확률: 50.11%, 부정 확률: 49.89%"
친절하고 침도 잘 나주시고 상담도 잘해주세요,"긍정 확률: 43.89%, 부정 확률: 56.11%"
친절한상담과 침치료 물리치료 넘 잘해주세요,"긍정 확률: 46.95%, 부정 확률: 53.05%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
원장님  친절하시고  열정적이세요,"긍정 확률: 43.34%, 부정 확률: 56.66%"
ㅣ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
ㅣ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
ㅣ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
ㅇㅇ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
굳,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
항외과가  맞나 의심스러울 정도로 실력이 형편없으시더라구요 건성건성 대충대충 내시경 보고 오진 하심 치열과 치루 증상으로 내원햇으나  치질약 처방해주심....호전되질않아서  일 주일후 길 건너에 있는 송도외과의원에 다시 검사를받았더니  아주 자세히 내시경 보여주시며 치열과 치루라고 진단해주심 그곳에서 치료잘받구 좋아졌네요 참고하세요 여러분내용 더보기,"긍정 확률: 58.68%, 부정 확률: 41.32%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
항문외과중에 괜찮은곳!!,"긍정 확률: 41.16%, 부정 확률: 58.84%"
친절합니다,"긍정 확률: 40.78%, 부정 확률: 59.22%"
많이 친절해요,"긍정 확률: 43.98%, 부정 확률: 56.02%"
친절합니다,"긍정 확률: 40.78%, 부정 확률: 59.22%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절함,"긍정 확률: 40.72%, 부정 확률: 59.28%"
허리아플때 갑니다,"긍정 확률: 43.65%, 부정 확률: 56.35%"
진료비가 좀 비싸서 아쉽지만 설명도 잘해주시고 친절해요,"긍정 확률: 45.99%, 부정 확률: 54.01%"
"원장님이 너무 친절하시고, 시설도 너무 깨끗하고 좋습니다.","긍정 확률: 56.08%, 부정 확률: 43.92%"
친절합니다,"긍정 확률: 40.78%, 부정 확률: 59.22%"
ㅇ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
"선생님이 친절하시고, 자상히 잘 알려주시네요^^ 감사합니다~","긍정 확률: 54.36%, 부정 확률: 45.64%"
ㅎ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
실내도  깔끔하구   원장님이 친절하시구  치료도 잘해주시네요 환자 마음을  잘알아주시구 다정한  선생님덕에 뺠리 치로가 되는 느낌이네요,"긍정 확률: 50.09%, 부정 확률: 49.91%"
친절함 ,"긍정 확률: 40.72%, 부정 확률: 59.28%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
너무 한의원이 좋아요,"긍정 확률: 47.88%, 부정 확률: 52.12%"
시설이 너무 좋아요,"긍정 확률: 46.14%, 부정 확률: 53.86%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
아픈곳도 꼼꼼하게 물어봐 주시고 무엇보다 친절하세요 어른들이 많이 가세요 저희 아버지도 종종가서 물리치료받겠다 하시고 좋ㅇ습니다,"긍정 확률: 51.24%, 부정 확률: 48.76%"
친절 굳,"긍정 확률: 41.71%, 부정 확률: 58.29%"
"올 해 새로 우리 동네 오픈한 경희금손한의원  어깨 목 결림 심해서  맛사지 만으로는 효과가 없는것 같아 들렀는데..  직원들과 원장님의 친절은 기본이고, 엎드릴때 허리가 아픈 저는 배 에 받침대 깔아주는 센스가 감사했고 배와 어깨 부위 핫팩, 부항,침,약침,뜸,파스...등등과  하루치 한방약 세 포 까지.....   새심하고 꼼꼼하게 치료 해 주셔서 감사한 마음으로  몸도 기분 도 가뿐하게 두번째 치료 끝나고 나왔습니다~^^  주변 지인분들께 꼭 추천 해 드리고 싶은 한의원 입니다♡ 내용 더보기","긍정 확률: 59.32%, 부정 확률: 40.68%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절하시고 치료도 잘해주십니다.,"긍정 확률: 57.22%, 부정 확률: 42.78%"
친절하게 잘봐주셔서 감사드려요 :),"긍정 확률: 43.07%, 부정 확률: 56.93%"
잘봐주셔서 감사드립니다 :),"긍정 확률: 43.76%, 부정 확률: 56.24%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
깨끗해요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
침을 참 잘.치료하셔요,"긍정 확률: 54.13%, 부정 확률: 45.87%"
꼼꼼한설명  침치료가 잘듣는것같아요,"긍정 확률: 46.81%, 부정 확률: 53.19%"
친절한설명 꼼꼼한치료  감사드려요~  ,"긍정 확률: 47.16%, 부정 확률: 52.84%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
쥬ㅏ요 조어요 조아요 조어요,"긍정 확률: 48.26%, 부정 확률: 51.74%"
👌 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
👌 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
치료받고 추석 선물까지 받았네요. 푸짐한 선물 감사합니다.,"긍정 확률: 56.14%, 부정 확률: 43.86%"
친절하시고 추석이라고 선물도주시네요,"긍정 확률: 43.94%, 부정 확률: 56.06%"
아프면 가는데  같은건물 정형외과보다  여기가 더 잘 봄 나한테 여기 선생님은 화타임내용 더보기,"긍정 확률: 48.44%, 부정 확률: 51.56%"
👌 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절하시고 좋아요,"긍정 확률: 42.69%, 부정 확률: 57.31%"
친절하십니다.,"긍정 확률: 56.69%, 부정 확률: 43.31%"
 ,"긍정 확률: 36.55%, 부정 확률: 63.45%"
 ,"긍정 확률: 36.55%, 부정 확률: 63.45%"
너무 친절하시고 침도 안아프게 잘 놓아주세요! 다음주에 뵙겠습니다,"긍정 확률: 49.16%, 부정 확률: 50.84%"
"처음 방문하는 곳인데 너무 친절하고, 꼼꼼한 진료와 치료를 해주셨습니다. 사진처럼 경옥고와 치료를 위한 안내물도 주시고, 한약도 주셨어요. 당분간은 이곳에서 치료에 전념할 생각입니다.","긍정 확률: 60.39%, 부정 확률: 39.61%"
손목치료 받았는데 모두 친절하셔서 편하게 받았네요.,"긍정 확률: 55.03%, 부정 확률: 44.97%"
